
央视,#genre#
CCTV1综合,http://183.250.157.35:8880/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2财经,http://183.250.157.35:8880/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3综艺,http://183.250.157.35:8880/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4中文国际,http://183.250.157.35:8880/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5体育,http://183.250.157.35:8880/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://183.250.157.35:8880/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV7国防军事,http://183.250.157.35:8880/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8电视剧,http://183.250.157.35:8880/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9纪录,http://183.250.157.35:8880/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10科教,http://183.250.157.35:8880/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11戏曲,http://183.250.157.35:8880/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12社会与法,http://183.250.157.35:8880/tsfile/live/0012_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV13新闻,http://183.250.157.35:8880/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14少儿,http://183.250.157.35:8880/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#
湖南卫视,http://183.250.157.35:8880/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://183.250.157.35:8880/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://183.250.157.35:8880/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://183.250.157.35:8880/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://106.115.24.22:9901/tsfile/live/1011_1.m3u8
北京卫视,http://183.250.157.35:8880/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://183.250.157.35:8880/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://183.250.157.35:8880/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://183.250.157.35:8880/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://183.250.157.35:8880/tsfile/live/0139_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://106.115.24.22:9901/tsfile/live/1040_1.m3u8
河北卫视,http://183.250.157.35:8880/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
广西卫视,http://183.250.157.35:8880/tsfile/live/0113_1.m3u8?key=txiptv&playlive=0&authid=0
