央视高清,#genre#
CCTV-1综合,http://192.168.5.1:9527/rtp/239.77.0.129:5146
CCTV-2财经,http://192.168.5.1:9527/rtp/239.77.1.158:5146
CCTV-3综艺,http://192.168.5.1:9527/rtp/239.77.0.169:5146
CCTV-4中文国际,http://192.168.5.1:9527/rtp/239.77.1.163:5146
CCTV-4中文国际美洲,http://192.168.5.1:9527/rtp/239.253.43.121:5146
CCTV-4中文国际欧洲,http://192.168.5.1:9527/rtp/239.253.43.120:5146
CCTV-5体育,http://192.168.5.1:9527/rtp/239.77.0.170:5146
CCTV-5+体育赛事,http://192.168.5.1:9527/rtp/239.77.1.31:5146
CCTV-6电影,http://192.168.5.1:9527/rtp/239.77.0.171:5146
CCTV-7国防军事,http://192.168.5.1:9527/rtp/239.77.1.159:5146
CCTV-8电视剧,http://192.168.5.1:9527/rtp/239.77.0.172:5146
CCTV-9纪录,http://192.168.5.1:9527/rtp/239.77.1.160:5146
CCTV-10科教,http://192.168.5.1:9527/rtp/239.77.1.113:5146
CCTV-11戏曲,http://192.168.5.1:9527/rtp/239.77.1.108:5146
CCTV-12社会与法,http://192.168.5.1:9527/rtp/239.77.1.109:5146
CCTV-13新闻,http://192.168.5.1:9527/rtp/239.253.43.196:5146
CCTV-14少儿,http://192.168.5.1:9527/rtp/239.77.1.161:5146
CCTV-15音乐,http://192.168.5.1:9527/rtp/239.77.1.120:5146
CCTV-16奥林匹克,http://192.168.5.1:9527/rtp/239.77.0.165:5146
CCTV-17农业农村,http://192.168.5.1:9527/rtp/239.77.1.121:5146
CCTV-16 4K,http://192.168.5.1:9527/rtp/239.77.0.18:5146
CCTV-4K,http://192.168.5.1:9527/rtp/239.77.1.180:5146
卫视4K,#genre#
广东卫视4K,http://192.168.5.1:9527/rtp/239.77.0.66:5146
湖南卫视4K,http://192.168.5.1:9527/rtp/239.77.0.56:5146
浙江卫视4K,http://192.168.5.1:9527/rtp/239.77.0.58:5146
江苏卫视4K,http://192.168.5.1:9527/rtp/239.77.0.57:5146
东方卫视4K,http://192.168.5.1:9527/rtp/239.77.0.59:5146
北京卫视4K,http://192.168.5.1:9527/rtp/239.77.0.2:5146
山东卫视4K,http://192.168.5.1:9527/rtp/239.77.0.61:5146
深圳卫视4K,http://192.168.5.1:9527/rtp/239.77.0.67:5146
四川卫视4K,http://192.168.5.1:9527/rtp/239.77.0.60:5146
卫视高清,#genre#
广东卫视,http://192.168.5.1:9527/rtp/239.77.0.4:5146
湖南卫视,http://192.168.5.1:9527/rtp/239.77.0.6:5146
浙江卫视,http://192.168.5.1:9527/rtp/239.77.0.12:5146
江苏卫视,http://192.168.5.1:9527/rtp/239.77.0.7:5146
东方卫视,http://192.168.5.1:9527/rtp/239.77.0.5:5146
北京卫视,http://192.168.5.1:9527/rtp/239.77.1.151:5146
山东卫视,http://192.168.5.1:9527/rtp/239.77.0.8:5146
深圳卫视,http://192.168.5.1:9527/rtp/239.77.0.9:5146
四川卫视,http://192.168.5.1:9527/rtp/239.77.0.11:5146
天津卫视,http://192.168.5.1:9527/rtp/239.77.0.131:5146
湖北卫视,http://192.168.5.1:9527/rtp/239.77.0.128:5146
黑龙江卫视,http://192.168.5.1:9527/rtp/239.77.0.124:5146
安徽卫视,http://192.168.5.1:9527/rtp/239.77.1.92:5146
江西卫视,http://192.168.5.1:9527/rtp/239.77.1.219:5146
辽宁卫视,http://192.168.5.1:9527/rtp/239.77.1.103:5146
贵州卫视,http://192.168.5.1:9527/rtp/239.77.1.221:5146
河南卫视,http://192.168.5.1:9527/rtp/239.77.1.229:5146
云南卫视,http://192.168.5.1:9527/rtp/239.253.43.37:5146
