💽广东频道,#genre#
广东卫视,http://php.jdshipin.com:8880/chudian.php?id=gdws
大湾区卫视,http://sxd.nyxg.vip:40000/udp/239.77.0.215:5146
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东珠江,http://sxd.nyxg.vip:40000/udp/239.77.0.1:5146
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=gdzj
广东民生,http://sxd.nyxg.vip:40000/udp/239.77.0.225:5146
广东民生,http://php.jdshipin.com:8880/chudian.php?id=gdms
广东新闻,http://sxd.nyxg.vip:40000/udp/239.77.0.173:5146
广东新闻,http://php.jdshipin.com:8880/chudian.php?id=gdxw
广东体育,http://sxd.nyxg.vip:40000/udp/239.77.0.112:5146
广东体育,http://sxd.nyxg.vip:40000/udp/239.77.0.168:5146
广东影视,http://sxd.nyxg.vip:40000/udp/239.77.0.217:5146
广东影视,http://php.jdshipin.com:8880/chudian.php?id=gdys
广东科教,http://sxd.nyxg.vip:40000/udp/239.77.0.85:5146
广东少儿,http://sxd.nyxg.vip:40000/udp/239.77.0.250:5146
广东少儿,http://php.jdshipin.com:8880/chudian.php?id=gdse
嘉佳卡通,http://sxd.nyxg.vip:40000/udp/239.77.0.179:5146
广州新闻,http://sxd.nyxg.vip:40000/udp/239.253.43.72:5146
广州新闻,http://php.jdshipin.com:8880/gztv.php?id=xinwen
广州影视,http://sxd.nyxg.vip:40000/udp/239.253.43.73:5146
广州法治,http://sxd.nyxg.vip:40000/udp/239.253.43.74:5146
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市,http://php.jdshipin.com:8880/gztv.php?id=shenghuo
广州综合,http://sxd.nyxg.vip:40000/udp/239.253.43.71:5146
广州综合,http://php.jdshipin.com:8880/gztv.php?id=zhonghe
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广东移动,http://php.jdshipin.com:8880/chudian.php?id=gdyd
